Date,44469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Veterans,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,< 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Grand Total,,,,,,,,,,,,,,
Texas,811,24441,58279,91263,111324,115766,115266,144069,135548,138601,141949,170874,144135,79212,91021,1562560,,,,,,,,,,,,,,
Utah,85,1960,4740,7677,8991,9313,8615,10060,10642,10717,11404,15827,13082,8933,10076,132120,,,,,,,,,,,,,,
Vermont,18,440,1008,1619,1791,1795,2174,3139,4291,4799,4281,5409,4380,3125,2951,41221,,,,,,,,,,,,,,
Virginia,266,10148,28960,42751,48532,53534,54851,67032,72927,72396,62883,69748,56644,32380,40293,713344,,,,,,,,,,,,,,
Washington,161,6891,19221,29390,33498,34196,34095,45335,50476,52180,55014,62381,60929,29466,33659,546892,,,,,,,,,,,,,,
West Virginia,69,1527,3196,5221,6383,7482,8681,11568,12581,12083,12601,22587,12221,9103,10822,136124,,,,,,,,,,,,,,
Wisconsin,205,4472,8863,13725,16435,15258,16534,26599,32333,32104,32110,50054,38486,23524,32122,342823,,,,,,,,,,,,,,j
Wyoming,26,679,1420,2338,2705,2914,2846,3801,3872,3893,4430,7304,5668,2676,2270,46844,,,,,,,,,,,,,,
Grand Total,9577,266919,612667,925261,1070019,1107764,1144756,1549962,1758249,1848962,1761874,2354028,2066992,1202809,1482677,19162515,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State,< 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Young %,Old %,,State,Young %,,State,Old %,,,,,,
,Alabama,223,5359,10917,16804,18935,20754,23001,31864,35380,38064,36677,42127,36396,18949,22071,4.8%,27.6%,,Alabama,4.8%,,Alabama,27.6%,,,,,,
,Alaska,43,1800,4030,5183,5577,5510,5044,5855,6340,6400,5880,6493,4502,2125,2608,9.5%,15.9%,,Alaska,9.5%,,Alaska,15.9%,,,,,,
,Arizona,174,5568,14221,22760,26108,26789,27110,35708,40632,44200,44212,60739,65118,39537,40576,4.2%,41.7%,,Arizona,4.2%,,Arizona,41.7%,,,,,,
,Arkansas,207,3656,6878,10090,10745,11082,11772,16204,17351,18880,19139,24541,20937,11165,13038,5.8%,30.0%,,Arkansas,5.8%,,Arkansas,30.0%,,,,,,
,California,615,23966,61802,90193,100384,100300,93012,113655,130901,146155,149290,182263,178270,105836,139316,5.6%,35.5%,,California,5.6%,,California,35.5%,,,,,,
,Colorado,156,5443,15313,23715,26447,25105,25397,33454,35384,36341,35258,40524,40462,20768,23851,5.7%,28.1%,,Colorado,5.7%,,Colorado,28.1%,,,,,,
,Connecticut,95,2270,4750,6573,7244,7654,7933,10667,13719,15419,13374,20832,18502,12586,16332,4.7%,42.9%,,Connecticut,4.7%,,Connecticut,42.9%,,,,,,
,Delaware,24,767,1751,2497,2972,3275,3434,4793,6715,7459,6440,9128,9083,5331,5182,3.8%,39.8%,,Delaware,3.8%,,Delaware,39.8%,,,,,,
,Florida,513,15876,38020,59586,70468,76446,82629,111433,134888,149730,133757,182772,173704,119084,143270,3.8%,41.3%,,Florida,3.8%,,Florida,41.3%,,,,,,
,Georgia,422,11782,26345,38057,40815,43757,46941,64644,71365,74355,64227,78534,62152,31653,34223,5.9%,22.8%,,Georgia,5.9%,,Georgia,22.8%,,,,,,
,Hawaii,46,1887,5103,6907,7777,8522,7440,8865,9958,10358,9118,12356,10566,5465,8388,6.7%,27.6%,,Hawaii,6.7%,,Hawaii,27.6%,,,,,,
,Idaho,69,1738,3508,5766,6516,6661,7003,9748,10520,10762,11279,16829,14887,7927,9324,4.5%,35.5%,,Idaho,4.5%,,Idaho,35.5%,,,,,,
,Illinois,365,8597,17460,25523,31558,33215,33703,48745,52479,52993,49604,78164,69086,38906,50868,4.7%,36.7%,,Illinois,4.7%,,Illinois,36.7%,,,,,,
,Indiana,252,6208,11982,18493,20707,19296,21909,33992,40691,41147,38177,49440,45977,25584,28532,4.8%,33.1%,,Indiana,4.8%,,Indiana,33.1%,,,,,,
,Iowa,162,2909,5468,8526,10027,9695,10166,15507,18029,16986,17119,27784,21459,12128,18990,4.6%,36.9%,,Iowa,4.6%,,Iowa,36.9%,,,,,,
,Kansas,111,3290,7993,11950,12803,12267,12000,15151,15965,16629,17227,24720,17070,10702,15086,6.3%,28.6%,,Kansas,6.3%,,Kansas,28.6%,,,,,,
,Kentucky,154,4249,9217,13020,15246,15661,17689,25226,28437,28534,27129,35793,29983,15210,19253,5.0%,29.2%,,Kentucky,5.0%,,Kentucky,29.2%,,,,,,
,Louisiana,225,5097,9824,14421,18236,20337,20473,27476,24000,24146,26531,33781,23241,17100,18110,5.7%,26.0%,,Louisiana,5.7%,,Louisiana,26.0%,,,,,,
,Maine,51,1170,2472,3878,4514,4867,5713,7887,10260,11618,10876,15419,12623,5308,10178,3.6%,35.7%,,Maine,3.6%,,Maine,35.7%,,,,,,
,Maryland,140,4107,10840,16448,21716,25249,25382,33563,39854,41441,34288,40988,36301,21779,25676,4.2%,28.5%,,Maryland,4.2%,,Maryland,28.5%,,,,,,
,Massachusetts,113,3467,8077,12337,14131,14138,15077,20771,27894,30961,26834,38458,37071,23162,33215,4.0%,44.0%,,Massachusetts,4.0%,,Massachusetts,44.0%,,,,,,
,Michigan,256,6534,13795,22051,24546,23602,27757,44731,54109,53795,51009,82176,68446,36657,44817,3.9%,37.1%,,Michigan,3.9%,,Michigan,37.1%,,,,,,
,Minnesota,222,4325,8246,12902,15072,14090,14277,22422,27179,28394,28315,41224,38712,19661,29235,4.4%,40.4%,,Minnesota,4.4%,,Minnesota,40.4%,,,,,,
,Mississippi,188,3739,6774,9316,10638,11478,12351,16920,18008,19471,17890,18685,16878,10123,10317,6.2%,25.7%,,Mississippi,6.2%,,Mississippi,25.7%,,,,,,
,Missouri,246,5760,12224,18269,21506,22024,23332,33013,38039,41282,39842,53190,48302,24680,32032,4.6%,34.0%,,Missouri,4.6%,,Missouri,34.0%,,,,,,
,Montana,55,1214,2554,4167,4940,5073,5054,6881,7692,7618,8241,12250,10565,5692,6357,4.5%,34.4%,,Montana,4.5%,,Montana,34.4%,,,,,,
,Nebraska,81,1755,4147,6763,7739,7293,7577,10653,11564,11312,10563,15338,12771,6393,10350,5.1%,31.1%,,Nebraska,5.1%,,Nebraska,31.1%,,,,,,
,Nevada,99,2641,6719,11199,12723,13119,12972,16832,19750,21035,20848,28597,23705,12480,15333,4.5%,30.9%,,Nevada,4.5%,,Nevada,30.9%,,,,,,
