Date,Age Groups,Gender,Veterans
9/30/2021  12:00:00 AMale,60-64,Female,228249.1609
9/30/2021  12:00:00 AMale,60-64,Male,1620712.961
9/30/2021  12:00:00 AMale,65-69,Female,170376.285
9/30/2021  12:00:00 AMale,65-69,Male,1591497.64
9/30/2021  12:00:00 AMale,70-74,Female,107923.2945
9/30/2021  12:00:00 AMale,70-74,Male,2246104.459
9/30/2021  12:00:00 AMale,75-79,Female,60472.02318
9/30/2021  12:00:00 AMale,75-79,Male,2006520.024
9/30/2021  12:00:00 AMale,80-84,Female,41018.73223
9/30/2021  12:00:00 AMale,80-84,Male,1161790.072
9/30/2021  12:00:00 AMale,85+,Female,49084.57167
9/30/2021  12:00:00 AMale,85+,Male,1433592.724
9/30/2021  12:00:00 AMale,< 20,Female,2603.991841
9/30/2021  12:00:00 AMale,< 20,Male,6972.648962
9/30/2022  12:00:00 AMale,20-24,Female,53182.42431
9/30/2022  12:00:00 AMale,20-24,Male,213662.6782
9/30/2022  12:00:00 AMale,25-29,Female,117256.2737
9/30/2022  12:00:00 AMale,25-29,Male,491202.7137
9/30/2022  12:00:00 AMale,30-34,Female,166807.3815
9/30/2022  12:00:00 AMale,30-34,Male,726067.194
9/30/2022  12:00:00 AMale,35-39,Female,195201.3404
9/30/2022  12:00:00 AMale,35-39,Male,850564.5723
9/30/2022  12:00:00 AMale,40-44,Female,216693.1105
9/30/2022  12:00:00 AMale,40-44,Male,920561.3737
9/30/2022  12:00:00 AMale,45-49,Female,189865.6376
9/30/2022  12:00:00 AMale,45-49,Male,920283.3079
9/30/2022  12:00:00 AMale,50-54,Female,211268.1669
9/30/2022  12:00:00 AMale,50-54,Male,1269543.962
9/30/2022  12:00:00 AMale,55-59,Female,218584.1153
9/30/2022  12:00:00 AMale,55-59,Male,1468864.011
9/30/2022  12:00:00 AMale,60-64,Female,234918.7405
9/30/2022  12:00:00 AMale,60-64,Male,1594965.164
9/30/2022  12:00:00 AMale,65-69,Female,182738.1235
9/30/2022  12:00:00 AMale,65-69,Male,1555947.419
9/30/2022  12:00:00 AMale,70-74,Female,115570.4439
9/30/2022  12:00:00 AMale,70-74,Male,1952565.581
9/30/2022  12:00:00 AMale,75-79,Female,65923.73127
9/30/2022  12:00:00 AMale,75-79,Male,2175263.832
9/30/2022  12:00:00 AMale,80-84,Female,39986.58626
9/30/2022  12:00:00 AMale,80-84,Male,1199908.338
