Gender,Date,Branch,Veterans
Female,2021-09-30,Army,897703
Female,2021-09-30,Navy,397185
Female,2021-09-30,AirForce,458214
Female,2021-09-30,Marines,117401
Female,2021-09-30,NonDefense,27176
Female,2021-09-30,ReserveForces,147705
Male,2021-09-30,Army,7559509
Male,2021-09-30,Navy,3654895
Male,2021-09-30,AirForce,2938138
Male,2021-09-30,Marines,1956196
Male,2021-09-30,NonDefense,164164
Male,2021-09-30,ReserveForces,844230
