Date,Age Groups,Gender,State,Veterans
9/30/2021,25-29,Female,Arkansas,1228.146748
9/30/2021,25-29,Female,California,11336.7168
9/30/2021,25-29,Female,Colorado,2895.897425
9/30/2021,25-29,Female,Connecticut,862.8610182
9/30/2021,25-29,Female,Delaware,364.99616
9/30/2021,25-29,Female,District of Columbia,160.8615334
9/30/2021,25-29,Female,Florida,7783.463618
9/30/2021,25-29,Female,Georgia,5860.440346
9/30/2021,25-29,Female,Hawaii,1096.62718
9/30/2021,25-29,Female,Idaho,639.9005363
9/30/2021,25-29,Female,Illinois,3216.630186
9/30/2021,25-29,Female,Indiana,2050.225687
9/30/2021,25-29,Female,Iowa,908.092829
9/30/2021,25-29,Female,Island Areas & Foreign,256.3023714
9/30/2021,25-29,Female,Kansas,1457.510754
9/30/2021,25-29,Female,Kentucky,1480.820987
9/30/2021,25-29,Female,Louisiana,2009.841898
9/30/2021,25-29,Female,Maine,376.0657642
9/30/2021,25-29,Female,Maryland,2256.347764
9/30/2021,25-29,Female,Massachusetts,1316.211657
9/30/2021,25-29,Female,Michigan,2374.838556
9/30/2021,25-29,Female,Minnesota,1458.066392
9/30/2021,25-29,Female,Mississippi,1428.64611
9/30/2021,25-29,Female,Missouri,2108.316683
9/30/2021,25-29,Female,Montana,475.8948685
9/30/2021,25-29,Female,Nebraska,758.778408
9/30/2021,25-29,Female,Nevada,1383.918242
9/30/2021,25-29,Female,New Hampshire,429.4626405
9/30/2021,25-29,Female,New Jersey,1648.475648
9/30/2021,25-29,Female,New Mexico,858.3444613
9/30/2021,25-29,Female,New York,3579.695854
9/30/2021,25-29,Female,North Carolina,5406.701248
9/30/2021,25-29,Female,North Dakota,393.597542
9/30/2021,25-29,Female,Ohio,3758.211382
9/30/2021,25-29,Female,Oklahoma,1962.970557
9/30/2021,25-29,Female,Oregon,1195.618981
9/30/2021,25-29,Female,Pennsylvania,3373.014386
9/30/2021,25-29,Female,Puerto Rico,218.9498095
9/30/2021,25-29,Female,Rhode Island,309.076968
9/30/2021,25-29,Female,South Carolina,2803.612005
9/30/2021,25-29,Female,South Dakota,347.9931835
9/30/2021,25-29,Female,Tennessee,2483.898578
9/30/2021,25-29,Female,Texas,11503.67232
9/30/2021,25-29,Female,Utah,777.0468093
9/30/2021,25-29,Female,Vermont,158.9985469
9/30/2021,25-29,Female,Virginia,6333.787339
9/30/2021,25-29,Female,Washington,3664.611791
9/30/2021,25-29,Female,West Virginia,525.5874889
9/30/2021,25-29,Female,Wisconsin,1557.976193
9/30/2021,25-29,Female,Wyoming,242.8331954
9/30/2021,25-29,Male,Alabama,8662.421944
9/30/2021,25-29,Male,Alaska,3255.488067
9/30/2021,25-29,Male,Arizona,11599.40702
9/30/2021,25-29,Male,Arkansas,5650.328544
9/30/2021,25-29,Male,California,50465.3865
9/30/2021,25-29,Male,Colorado,12417.03189
9/30/2021,25-29,Male,Connecticut,3887.409373
9/30/2021,25-29,Male,Delaware,1386.291639
9/30/2021,25-29,Male,District of Columbia,706.3032071
9/30/2021,25-29,Male,Florida,30236.97046
9/30/2021,25-29,Male,Georgia,20484.99266
9/30/2021,25-29,Male,Hawaii,4006.559277
9/30/2021,25-29,Male,Idaho,2868.563811
9/30/2021,25-29,Male,Illinois,14243.83299
9/30/2021,25-29,Male,Indiana,9931.372137
9/30/2021,25-29,Male,Iowa,4559.886007
9/30/2021,25-29,Male,Island Areas & Foreign,933.1416911
9/30/2021,25-29,Male,Kansas,6535.485887
9/30/2021,25-29,Male,Kentucky,7736.647539
9/30/2021,25-29,Male,Louisiana,7814.447757
9/30/2021,25-29,Male,Maine,2095.6872
9/30/2021,25-29,Male,Maryland,8583.579551
9/30/2021,25-29,Male,Massachusetts,6761.094674
9/30/2021,25-29,Male,Michigan,11420.16042
9/30/2021,25-29,Male,Minnesota,6787.839502
9/30/2021,25-29,Male,Mississippi,5345.095932
9/30/2021,25-29,Male,Missouri,10115.68495
9/30/2021,25-29,Male,Montana,2077.946645
9/30/2021,25-29,Male,Nebraska,3388.065759
9/30/2021,25-29,Male,Nevada,5335.005443
9/30/2021,25-29,Male,New Hampshire,2330.600015
9/30/2021,25-29,Male,New Jersey,7577.26452
9/30/2021,25-29,Male,New Mexico,3547.191124
9/30/2021,25-29,Male,New York,16395.07512
9/30/2021,25-29,Male,North Carolina,21151.81566
9/30/2021,25-29,Male,North Dakota,1693.167732
9/30/2021,25-29,Male,Ohio,17197.16378
9/30/2021,25-29,Male,Oklahoma,8055.231122
9/30/2021,25-29,Male,Oregon,6213.509748
9/30/2021,25-29,Male,Pennsylvania,15452.82152
9/30/2021,25-29,Male,Puerto Rico,1283.335575
9/30/2021,25-29,Male,Rhode Island,1402.806434
9/30/2021,25-29,Male,South Carolina,10191.25092
9/30/2021,25-29,Male,South Dakota,1612.906375
9/30/2021,25-29,Male,Tennessee,11616.87287
9/30/2021,25-29,Male,Texas,46775.43194
9/30/2021,25-29,Male,Utah,3962.480902
9/30/2021,25-29,Male,Vermont,849.4825246
9/30/2021,25-29,Male,Virginia,22625.96866
9/30/2021,25-29,Male,Washington,15556.40179
9/30/2021,25-29,Male,West Virginia,2670.251393
9/30/2021,25-29,Male,Wisconsin,7304.99451
9/30/2021,25-29,Male,Wyoming,1177.457027
9/30/2021,30-34,Female,Alabama,3681.108214
9/30/2021,30-34,Female,Alaska,956.2502337
9/30/2021,30-34,Female,Arizona,3875.928039
9/30/2021,30-34,Female,Arkansas,1657.709621
9/30/2021,30-34,Female,California,15813.04009
9/30/2021,30-34,Female,Colorado,4182.306578
9/30/2021,30-34,Female,Connecticut,1074.471728
9/30/2021,30-34,Female,Delaware,476.9903192
9/30/2021,30-34,Female,District of Columbia,312.2539512
9/30/2021,30-34,Female,Florida,12150.45217
9/30/2021,30-34,Female,Georgia,9089.237025
9/30/2021,30-34,Female,Hawaii,1511.357142
9/30/2021,30-34,Female,Idaho,950.7696502
9/30/2021,30-34,Female,Illinois,4273.913677
9/30/2021,30-34,Female,Indiana,2930.754727
9/30/2021,30-34,Female,Iowa,1344.819137
9/30/2021,30-34,Female,Island Areas & Foreign,510.0854966
9/30/2021,30-34,Female,Kansas,2038.609089
9/30/2021,30-34,Female,Kentucky,2028.234891
9/30/2021,30-34,Female,Louisiana,3007.345825
9/30/2021,30-34,Female,Maine,619.0762706
9/30/2021,30-34,Female,Maryland,3518.521048
