State,Congressional District (CD),Gender,Age Group,Date,Veteran
California,CD 1,Male,Under 65,9/30/2021,18856.30832
California,CD 10,Female,65 and Over,9/30/2021,826.3963485
California,CD 10,Female,Under 65,9/30/2021,2171.827928
California,CD 10,Male,65 and Over,9/30/2021,12322.91644
California,CD 10,Male,Under 65,9/30/2021,15054.82187
California,CD 11,Female,65 and Over,9/30/2021,761.0971471
California,CD 11,Female,Under 65,9/30/2021,1624.849732
California,CD 11,Male,65 and Over,9/30/2021,16963.45057
California,CD 11,Male,Under 65,9/30/2021,10266.29882
California,CD 12,Female,65 and Over,9/30/2021,561.674447
California,CD 12,Female,Under 65,9/30/2021,1383.74761
California,CD 12,Male,65 and Over,9/30/2021,9264.776554
California,CD 12,Male,Under 65,9/30/2021,10113.76413
California,CD 13,Female,65 and Over,9/30/2021,577.0857049
California,CD 13,Female,Under 65,9/30/2021,2126.831335
California,CD 13,Male,65 and Over,9/30/2021,10009.04459
California,CD 13,Male,Under 65,9/30/2021,10346.63157
California,CD 14,Female,65 and Over,9/30/2021,715.4934988
California,CD 14,Female,Under 65,9/30/2021,1108.829359
California,CD 14,Male,65 and Over,9/30/2021,11691.75867
California,CD 14,Male,Under 65,9/30/2021,8310.874708
California,CD 15,Female,65 and Over,9/30/2021,523.2770275
California,CD 15,Female,Under 65,9/30/2021,1713.346704
California,CD 15,Male,65 and Over,9/30/2021,10587.65764
California,CD 15,Male,Under 65,9/30/2021,11714.79929
California,CD 16,Female,65 and Over,9/30/2021,418.8987344
California,CD 16,Female,Under 65,9/30/2021,1612.584954
California,CD 16,Male,65 and Over,9/30/2021,9400.968567
California,CD 16,Male,Under 65,9/30/2021,10544.93474
California,CD 17,Female,65 and Over,9/30/2021,300.9804894
California,CD 17,Female,Under 65,9/30/2021,1305.202513
California,CD 17,Male,65 and Over,9/30/2021,8593.565902
California,CD 17,Male,Under 65,9/30/2021,7549.443454
California,CD 18,Female,65 and Over,9/30/2021,666.5143538
